Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|6|,261|104|76|33|12|6|8|,31.0|53.0|92.0|123.0|147.0|184.0|195.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,31.0|53.0|92.0|123.0|147.0|184.0|195.0|,261|104|76|33|12|6|8|,31.0|53.0|92.0|123.0|147.0|184.0|195.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,0|261|104|76|33|12|14|,0|0|0|0|0|0|0|,429|261|104|76|33|12|14|,0|0|0|0|0|0|0|,429|261|104|76|33|12|14|,429|0|104|76|33|12|14|,429|104|76|33|12|6|8|,0|261|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|261|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
1,0|1|2|3|4|5|6|,0|261|0|0|0|0|0|,nan|71.03756161741244|nan|nan|nan|nan|nan|,nan|1.4210854715202004e-14|nan|nan|nan|nan|nan|,31.0|53.0|92.0|123.0|147.0|184.0|195.0|,0|261|0|0|0|0|0|,nan|71.03756161741244|nan|nan|nan|nan|nan|,nan|1.4210854715202004e-14|nan|nan|nan|nan|nan|,0|0|261|0|0|0|0|,0|0|0|0|0|0|0|,0|0|261|0|0|0|0|,0|0|0|0|0|0|0|,0|0|261|0|0|0|0|,0|0|261|0|0|0|0|,0|261|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
2,0|1|2|3|4|5|6|,0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|,31.0|53.0|92.0|123.0|147.0|184.0|195.0|,0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|,nan|nan|nan|nan|nan|nan|nan|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|NA|
